device,latency,packet_loss,cpu,memory,bandwidth,interface_errors,traffic
R1,31.137896829563765,0.7625847158550235,45.639079262297855,45.43425700350306,41.35603046628667,1,53.58715930678136
R2,27.880010583821996,0.8021676639496027,31.472413032471906,58.696471068364076,51.52529385556553,0,81.98928875942975
R3,20.010050828296592,0.6156495903031342,43.50325634956292,59.75187401128194,61.02813186088565,1,90.98628190050198
R4,25.7685877808798,0.4332553270293297,32.16793851084718,47.63736798637808,54.5276333855266,1,54.40157268623207
R1,16.53216118330718,0.8916454007287766,54.5013924616578,51.478548366052955,65.0734979744441,1,61.006106345300196
R2,32.411484120849664,0.46741441357996294,32.55898508466607,51.10668238261144,48.60217967342932,0,53.83593652478361
R3,21.08023167366058,0.8421907780990182,54.894772739169156,62.30642517401276,64.60880289081251,1,80.97177065932789
R4,21.27130888283017,0.2779780807567248,58.99608892153105,68.02954068827427,67.40311337575365,2,66.66266684883985
R1,31.3584401838308,0.6645890638340678,38.1432493011653,43.7198440146276,30.54540715763133,2,42.25854326456195
R2,23.269789056158967,0.22690726819991058,43.50235244197461,45.59450264342938,59.323420852130084,2,98.55679729820717
R3,23.404934340047923,0.955099897644038,54.68620459893938,55.62653475777846,40.48344752603902,2,42.085270455193914
R4,22.411646424568517,0.03430828301545996,57.42655979025433,42.15556455710366,35.502486847763514,1,75.4901177794427
R1,18.70038790559667,0.7710119180646349,44.31067233861657,51.61946155362173,67.08308410343518,0,53.452768359586074
R2,20.096491439314278,0.23463024078856243,56.54468238363066,64.7064965974874,64.31198742645476,0,75.62220634940013
R3,18.998813590295185,0.9431035624613023,32.14056143520531,68.25943958581647,34.770641051873376,2,94.03189642230032
R4,32.551128804031606,0.025475864572464757,47.68633207277168,47.80189933708557,57.593326125369614,1,79.90254245237367
R1,26.01129665376804,0.6153337344269999,45.24873352089053,56.1013893585486,42.78425013726446,2,41.1156723307169
R2,22.06743669745778,0.3390351551820938,31.344264322318573,69.611487009386,66.49717322944407,1,56.71172851332593
R3,24.65789807140512,0.8075663631860984,55.182375207753594,47.33556122076944,65.97604722757035,2,59.35016032919242
R4,21.87405626531045,0.6047616232600747,50.26393481143305,64.22783396068094,51.6770728426615,0,66.54936759266234
R1,19.65740664557256,0.14537897613424267,36.619306043219275,51.792728751838354,64.8188593265206,1,71.368237268345
R2,32.69518792640453,0.983935624085778,41.3227253152355,50.70150022878815,63.46566046453994,0,50.0175165156313
R3,21.81989198235159,0.9424656692913234,45.84405469323325,55.97533985835004,46.365685901335326,1,54.06738438718577
R4,26.054272038236128,0.5077437581704662,35.31605243143894,59.60387887539071,63.82076327512844,0,74.60516599714174
R1,26.61977226439244,0.9924477485539471,47.50238891489799,67.52921719493293,36.7338187222337,1,91.77461533713907
R2,19.52934845927112,0.28067428731071,37.21808607447751,69.8271596751017,40.65076134885483,0,46.22955546363838
R3,25.818177452355357,0.4702677474271786,30.440979090167904,47.19355444140078,33.28753078394175,2,65.9083326297964
R4,25.437686424939855,0.6923374331517956,33.85017488392195,57.43704638720092,51.629128554949645,1,76.76829939003822
R1,34.784018182667815,0.3462643404234814,47.73043651857327,62.93605938508992,61.49945349857112,2,85.57025989222714
R2,15.988627180220265,0.48669125398121016,42.37539784724858,43.68703989351656,64.88621113926871,0,46.05273978100534
R3,28.70542965194395,0.9596669523628282,59.03149659470314,59.357325952006725,54.488194914509485,1,56.956060243094555
R4,34.72012574272902,0.5272001281381622,40.31254375152672,58.459738034309254,48.778152762948864,2,44.13667837230354
R1,26.016135559749646,0.21436223550318279,52.732902126967545,55.60482388499269,64.75276707574122,0,98.03453331932553
R2,29.787655443649257,0.7603988714580864,35.61083569095191,63.933745993325594,60.869370076536384,2,60.6177630223475
R3,21.39936715107014,0.31919713937357885,44.05576136383327,51.24306203708498,41.38471709514175,1,73.48392823672859
R4,29.660347612310616,0.7557095922369038,48.50260719694899,44.374512626697175,43.368015886624256,0,98.11490043747577
R1,18.155253555881956,0.4000424223485186,41.03199658519335,67.44371393287142,61.67168072141469,1,86.05660968178877
R2,32.07107174957232,0.257354582360497,51.503499714758235,64.69376693028782,44.75914543430369,1,69.28313598534673
R3,16.84800176086356,0.923959778684396,48.352349090484935,53.742530030745144,40.15325656166934,0,95.39367444913447
R4,15.02284632883347,0.4496080952370205,38.75521979488649,61.17861359529538,69.61409475036764,2,91.87421209032696
R1,32.60787665085262,0.27205483557154764,38.51585945723278,61.940673154413524,48.14144317878362,2,52.439650788487825
R2,25.02340805590707,0.9416081783359818,50.87817776015142,41.00593317911819,38.70652533945933,1,69.03673367709314
R3,22.615739949025794,0.5376506169291216,43.857539161577925,64.41508850696864,52.94818744419656,0,86.27214162315904
R4,17.412592828074455,0.7537117177358793,46.62915931986463,48.35758570894086,66.33326747404223,2,99.11066906462834
R1,30.573963537215757,0.6880929372929061,47.19892185192893,59.394005464999715,66.62121378893615,1,90.25824832250882
R2,27.73166675945511,0.5002848805188851,45.890345054735285,44.063928930977106,69.64133107321737,0,60.00297832736026
R3,31.34200703297553,0.8062772364823235,39.68154712071983,47.5601141044869,67.1881874378227,2,60.93881141038948
R4,24.414062031762686,0.9226794329725106,40.54912383374297,42.60322605398613,36.42587128567329,1,45.25997666488852
R1,32.49508171157434,0.3743869699932042,36.10486306644958,56.106361202728486,49.474772628297046,2,72.53457517640187
R2,31.525748745476,0.5532127342491571,30.07762727917996,69.34323737018804,62.22270456637284,2,60.918485281353675
R3,25.14813705119016,0.2949811720519675,58.51656532669199,59.22780519393065,60.51867271163056,1,79.55360220381492
R4,28.320934924594248,0.4924875888016973,37.92470823365814,69.64022959289414,55.558615581737236,1,40.091177007786634
R1,16.45433651906494,0.9797971378543937,41.17855233921175,53.86893562448272,43.92731368514935,1,44.159849178342355
R2,34.601626399124065,0.7950848723945296,54.44258583543079,56.184567617270375,57.46533414483861,2,88.02893936219354
R3,16.247771755486475,0.6538227925700524,49.53729899930909,63.206898321593286,51.96780787916359,1,41.6101643956417
R4,15.143328202391473,0.22182476572815624,49.26844873714536,66.65343897186416,56.153771185020666,0,90.97618388812552
R1,23.364505048164954,0.05802408500355949,53.15278752798328,48.79359210809312,41.961034840472266,1,56.278829909620065
R2,18.084171987469443,0.7999215932490226,51.271785588164754,56.92045534226688,46.29390919885283,0,93.9654321187023
R3,19.613873596808382,0.5320011157462373,46.48350617577345,53.100842719268755,54.411395983877675,2,63.70564142908439
R4,26.484522681739218,0.46571172792261284,33.897466680636306,69.29767602025225,62.39533985737038,1,77.13365671290688
R1,26.891588255965313,0.0009503062281669417,46.008684105328356,41.10962723203645,36.5715936466416,2,79.94540243385745
R2,16.779399195552415,0.7997575989109514,31.394782848983215,42.533241852168494,56.023993736579705,1,94.30456023800119
R3,16.630332989687947,0.5348905658484083,43.83520439680987,50.74320799413893,42.542421213557546,0,77.13368161716102
R4,19.382106308425318,0.596796703108076,36.072453440515964,48.75606744278854,47.32271941435598,0,85.15717924263954
R1,32.24254618450273,0.19244952861064835,51.279448571335465,57.11466699419849,53.652347116084805,0,95.00798172809246
R2,19.33242762771924,0.44601320268854805,53.88444573124839,60.17424472336475,33.11459228541199,1,82.16114992566546
R3,31.584001847508713,0.13164376702373826,46.85104783102727,57.52466671522944,45.54694702454173,0,48.215733117939166
R4,25.35154466476601,0.8914806163525929,55.7967136812121,57.63156778575522,46.442451639519675,0,82.8534196179798
R1,21.606960010804773,0.0900928919148336,57.1007722521096,63.51166469474859,38.06357396837083,1,83.94017517024804
R2,21.32507234002002,0.33736086421403744,39.108335970905124,61.13944594617325,51.97540584789688,2,72.11222617668558
R3,33.657059447136334,0.9114778087359217,45.28119903869327,57.45804017320313,30.196206472214744,0,63.20752512744298
R4,23.291610546802016,0.1618205356041733,44.186015279108354,59.284279167763046,31.355803405779884,0,65.24827670683747
R1,20.427188977284846,0.1419181799349819,30.2720896414549,55.0463674744523,69.55228023474429,1,90.01905973360562
R2,19.1415021859327,0.40816035161002995,30.561245368424967,42.275017208105005,45.274496533792345,0,40.63151514150451
R3,17.686486353228787,0.7071037522613068,51.7437312993077,66.13992711414039,36.46816540340303,2,40.949496362658785
R4,18.7564266146505,0.5857080917729663,32.59274818696676,58.94753947697935,56.93738544890741,0,46.84484795165425
R1,18.749433353661843,0.7856252124869358,34.44620705340228,64.91483651895422,34.905117791329836,1,97.43751328355455
R2,23.36507319916786,0.4144306169351948,56.42373606242913,68.68580325509711,64.18993271070894,1,71.57619093930451
R3,34.98619217852726,0.04343546363950246,51.668549976223616,65.44061148647864,36.313814264826114,2,72.79168236224679
R4,29.048568611942073,0.9812964458415209,46.193006511182254,46.13666953206056,56.851594659735674,2,75.42599739998673
R1,31.277722183046375,0.8394176278594426,53.17384185162618,66.58176591150749,57.86864126660843,1,59.50353571110169
R2,30.00467895600704,0.6729043242633437,54.36824223656283,43.68070584554078,39.42762467013817,2,80.04997237824422
R3,16.921118170304833,0.42253823981462124,56.33519854518099,40.53080308414283,50.476935760009106,2,96.91034638496308
R4,30.99557531207477,0.15099234627752522,58.95274320078845,58.97597340361392,30.05091418418661,1,92.14544185167503
R1,27.325653344407044,0.23073590386170428,47.9341485221791,65.39219078165144,44.114789354830066,2,48.84491081422354
R2,30.89178261308511,0.6560672263098182,39.57605173428642,48.11477586855404,63.10670422620616,0,66.69263261763447
R3,16.282932965518118,0.01648717202069283,50.52997079395374,55.21809721858067,61.29830003604839,1,52.476969928495976
R4,20.63364848845452,0.2950527710225036,31.53476924081194,65.09053313791799,52.030471741182694,0,96.52320099616102
R1,17.580779998566165,0.485008599955728,58.829628529652794,47.84406296104325,53.698311586230105,0,89.58215317944956
R2,27.11914325538119,0.0569453606009932,38.10194039916673,68.60077284315035,41.14344198994858,1,60.621709355027036
R3,28.780727214033025,0.4210208673482049,32.74200952907155,59.197924006064405,58.478891313922816,0,94.10941767358462
R4,30.269072818119163,0.7556700858818618,30.054302113842276,48.36080141824588,30.975155009119902,2,52.9459962664154
R1,34.050539840393384,0.04879250084134712,59.61453080261455,41.87727959841824,47.557739911517864,0,90.87608502838195
R2,34.26175814160439,0.6541713430867211,31.129901752236503,54.041807626226344,59.93903407952246,2,66.88028316040773
R3,27.21614994509278,0.06721047083050802,50.24807993126372,67.26418022851261,39.53239609177636,2,81.93964322586864
R4,28.664477051596027,0.3120276332713936,45.26669625241382,51.340303661143,56.78198866378861,1,55.75777175258681
R1,18.334161325522086,0.04373859118061385,35.87581960037758,44.95789369475376,34.947897679689774,1,68.94253327973506
R2,21.854530546179248,0.11430175221413807,31.98269478404321,58.696746089317685,60.85533671823616,1,58.86671742256077
R3,28.86798683415263,0.43199247098665605,49.64157273801963,57.20984262352405,45.12674389274127,1,42.74781081218745
R4,21.832959626462696,0.2678012657710406,44.65097072315549,43.80826002148417,30.520771751360094,0,88.5911689479035
R1,34.38638016207288,0.6515828691682939,32.93191393564331,48.44192857096803,64.27774742692714,2,95.68381489484445
R2,20.155171254104097,0.7467336581422847,58.39413795787624,67.6335115484349,59.82889968212021,0,85.08670861650715
R3,21.740273052134636,0.21457064589379482,37.171300952403705,43.01067194009353,64.84589589801462,0,44.773143033958334
R4,32.08674544155617,0.3802112648513173,35.67514023424706,47.73981845856061,56.0134793651693,0,60.9862477019949
R1,16.46027401620814,0.07515134693023517,46.962363354342884,57.497581532599355,56.4757185329443,2,83.40777565829445
R2,27.012787804391824,0.9101860720596554,35.52600946013714,49.84582718954261,47.44081586789392,1,49.897229194204996
R3,31.093067515232004,0.5160123733632554,54.65784584217833,50.50226760882835,44.872052117934714,2,88.43730226770258
R4,20.786563343392235,0.48306993417563915,49.77466353684828,43.40762345647076,66.52719030920926,1,58.757565888016565
R1,17.479295879951597,0.32525439102318254,46.32908409575906,47.0487648884119,53.41472251721563,2,78.70504558180039
R2,27.498147449039543,0.34598465693017355,32.2084112709078,67.58692027281975,60.14354331306615,1,92.89430399723312
R3,34.802901423828686,0.024979214354610146,38.427408771789146,44.224141010405454,47.46343937254293,1,42.024087917421234
R4,21.862153301988926,0.17435084522616584,30.578101399036196,68.5952691680611,48.96072273705116,0,79.70427538728308
R1,16.310144554473297,0.4053456647092589,44.20752695807129,44.1493941133165,43.88649537815118,1,60.1836826760598
R2,23.594125894387275,0.8425711350739367,40.26420952685865,62.702085502013375,66.74582605839254,2,56.32077629524205
R3,24.623384835031914,0.5042405957902006,30.469360826761854,42.25432349744454,63.17940306820863,0,62.94254218456234
R4,30.991918688514932,0.8864587021686485,31.20684959420401,59.46003891885586,53.90613431106415,0,72.10957252045466
R1,18.731035390748477,0.9990716241906563,30.031622786747068,61.19897448576785,51.50464573420871,0,73.93184050896114
R2,27.84704042218842,0.22387737640889138,43.134988323230544,43.897713577003785,53.41785604576398,2,54.01970392428929
R3,18.50035746693548,0.2743964016460051,37.95784208827431,65.53219286332424,59.77896746110013,0,80.73539435630605
